ZTF_r_x,ZTF_r_y,W1_x,W1_y,W2_x,W2_y,Gaia_G_x,Gaia_G_y
2018.28386454183,19.436,2010.29482071713,18.452,2010.28187250996,17.864,2014.82669322709,18.068
2018.43924302789,19.472,2010.78685258964,18.344,2010.79980079681,17.66,2015.18924302789,18.752
2018.6593625498,19.472,2013.51892430279,14.78,2014.30876494024,16.088,2015.26693227092,18.896
2018.81474103586,19.436,2014.29581673307,16.916,2014.80079681275,16.412,2015.39641434263,19.1
2018.97011952191,19.28,2014.82669322709,17.204,2015.51294820717,17.36,2015.70717131474,18.44
2019.1125498008,19.352,2015.55179282869,18.092,2016.53585657371,17.912,2015.7719123506,18.632
2019.42330677291,19.304,2016.52290836653,18.476,2016.78187250996,17.924,2015.84960159363,18.8
2019.66932270916,19.412,2016.79482071713,18.488,2017.51992031873,17.864,2016.17330677291,19.172
2019.79880478088,19.664,2017.51992031873,18.476,2018.51693227092,17.792,2016.22509960159,18.956
2019.94123505976,18.656,2018.50398406374,18.476,2019.52689243028,17.288,2017.90836653386,19.244
2020.09661354582,18.332,2019.51394422311,18.044,2020.48505976096,15.812,2018.24501992032,19.268
2020.13545816733,18.14,2020.49800796813,16.568,0,0,2018.6593625498,19.124
2020.26494023904,18.992,0,0,0,0,2018.95717131474,19.184
2020.38147410359,17.768,0,0,0,0,2019.2938247012,19.088
2020.43326693227,16.808,0,0,0,0,2019.41035856574,18.98
2020.48505976096,15.536,0,0,0,0,2019.64342629482,19.196
2020.54980079681,15.14,0,0,0,0,2019.86354581673,18.908
2020.71812749004,15.68,0,0,0,0,2019.91533864542,19.496
2020.89940239044,16.076,0,0,0,0,2020.31673306773,18.524
2021.10657370518,16.712,0,0,0,0,2020.2390438247,17.696
2021.14541832669,17.06,0,0,0,0,2020.44621513944,16.7
2021.24900398406,17.504,0,0,0,0,2020.45916334661,15.632
2021.41733067729,17.672,0,0,0,0,2020.65338645418,14.912
2021.49501992032,17.78,0,0,0,0,2020.92529880478,15.884
2021.57270916335,18.116,0,0,0,0,2021.11952191235,16.616
0,0,0,0,0,0,2021.15836653386,16.844
0,0,0,0,0,0,2021.26195219123,17.36
0,0,0,0,0,0,2021.40438247012,17.54
0,0,0,0,0,0,2021.7280876494,18.02
