step Tc_atm T_star L_star H_c Lfactor args
0.0 128.58728172004186 4183.7768264902825 0.5798297743075309 15.119752137571728 1.0737588413102424 0
1.0 148.82883466368628 5278.891143992374 1.4695937569264796 16.760996246943446 2.721469920234221 31
2.0 187.87674306980054 7007.5047375801405 4.5633110480248265 19.045815560946664 8.45057601486079 63
3.0 212.56719982590946 8018.296896692844 7.822669900359431 20.268457310897368 14.486425741406352 94
4.0 213.2012211571607 8043.856039188492 7.92289006820686 20.28547773736482 14.672018644827519 126
5.0 213.81008178795977 8068.3862570537085 8.01997835580906 20.326155139245508 14.851811770016779 157
6.0 210.81857432952413 7947.722358818518 7.550873968910872 20.171325369432413 13.98309994242754 189
7.0 183.52951673297073 6825.392922420321 4.10711727059921 18.813565520377658 7.605772723331871 220
8.0 153.38002447974284 5496.181893193294 1.726914596962804 17.06626173506446 3.1979899943755625 252
9.0 127.42831836353419 4110.0 0.54 15.0 1.0 284
